! Relational table of sequence name and sequence id 
! sequence id define: stn_id.dev_id.cmd_type.obj_id.opr
! sequence id 		sequence name
!
!**********************机组操作ID*********************


1.19.14.3.51.1	PBG.LCU7.OBJ.CY_DLC5_OBJ_OPEN	
1.19.6.372.51.2	PBG.LCU7.SYS.S_10KV506_SW2_CLOSE
1.19.6.372.51.1	PBG.LCU7.SYS.S_10KV506_SW2_OPEN
1.19.6.373.51.2	PBG.LCU7.SYS.S_10KV506_SW3_CLOSE
1.19.6.373.51.1	PBG.LCU7.SYS.S_10KV506_SW3_OPEN
1.19.14.4.51.2	PBG.LCU7.OBJ.CY_DL506_OBJ_CLOSE
1.19.14.4.51.1	PBG.LCU7.OBJ.CY_DL506_OBJ_OPEN	
1.19.6.499.51.2	PBG.LCU7.SYS.S_10KVDLC6_SW2_CLOSE
1.19.6.499.51.1	PBG.LCU7.SYS.S_10KVDLC6_SW2_OPEN
1.19.6.500.51.2	PBG.LCU7.SYS.S_10KVDLC6_SW3_CLOSE
1.19.6.500.51.1	PBG.LCU7.SYS.S_10KVDLC6_SW3_OPEN
1.19.14.5.51.2	PBG.LCU7.OBJ.CY_DLC6_OBJ_CLOSE
1.19.14.5.51.1	PBG.LCU7.OBJ.CY_DLC6_OBJ_OPEN	
1.19.6.550.51.2	PBG.LCU7.SYS.S_10KV682_SW2_CLOSE
1.19.6.550.51.1	PBG.LCU7.SYS.S_10KV682_SW2_OPEN
1.19.6.551.51.2	PBG.LCU7.SYS.S_10KV682_SW3_CLOSE
1.19.6.551.51.1	PBG.LCU7.SYS.S_10KV682_SW3_OPEN
1.19.14.6.51.2	PBG.LCU7.OBJ.CY_DL682_OBJ_CLOSE
1.19.14.6.51.1	PBG.LCU7.OBJ.CY_DL682_OBJ_OPEN	
1.19.6.288.51.2	PBG.LCU7.SYS.S_10KV4141_SW2_CLOSE
1.19.6.288.51.1	PBG.LCU7.SYS.S_10KV4141_SW2_OPEN
1.19.6.289.51.2	PBG.LCU7.SYS.S_10KV4141_SW3_CLOSE
1.19.6.289.51.1	PBG.LCU7.SYS.S_10KV4141_SW3_OPEN
1.19.14.7.51.2	PBG.LCU7.OBJ.CY_DL4141_OBJ_CLOSE
1.19.14.7.51.1	PBG.LCU7.OBJ.CY_DL4141_OBJ_OPEN	
1.19.6.298.51.2	PBG.LCU7.SYS.S_10KV4162_SW2_CLOSE
1.19.6.298.51.1	PBG.LCU7.SYS.S_10KV4162_SW2_OPEN
1.19.6.299.51.2	PBG.LCU7.SYS.S_10KV4162_SW3_CLOSE
1.19.6.299.51.1	PBG.LCU7.SYS.S_10KV4162_SW3_OPEN
1.19.14.8.51.2	PBG.LCU7.OBJ.CY_DL4162_OBJ_CLOSE
1.19.14.8.51.1	PBG.LCU7.OBJ.CY_DL4162_OBJ_OPEN	
1.19.6.325.51.2	PBG.LCU7.SYS.S_10KV4221_SW2_CLOSE
1.19.6.325.51.1	PBG.LCU7.SYS.S_10KV4221_SW2_OPEN
1.19.6.326.51.2	PBG.LCU7.SYS.S_10KV4221_SW3_CLOSE
1.19.6.326.51.1	PBG.LCU7.SYS.S_10KV4221_SW3_OPEN
1.19.14.9.51.2	PBG.LCU7.OBJ.CY_DL4221_OBJ_CLOSE
1.19.14.9.51.1	PBG.LCU7.OBJ.CY_DL4221_OBJ_OPEN	
1.19.6.335.51.2	PBG.LCU7.SYS.S_10KV4321_SW2_CLOSE
1.19.6.335.51.1	PBG.LCU7.SYS.S_10KV4321_SW2_OPEN
1.19.6.336.51.2	PBG.LCU7.SYS.S_10KV4321_SW3_CLOSE
1.19.6.336.51.1	PBG.LCU7.SYS.S_10KV4321_SW3_OPEN
1.19.14.10.51.2	PBG.LCU7.OBJ.CY_DL4321_OBJ_CLOSE
1.19.14.10.51.1	PBG.LCU7.OBJ.CY_DL4321_OBJ_OPEN	
1.19.6.298.51.2	PBG.LCU7.SYS.S_10KV4612_SW2_CLOSE
1.19.6.298.51.1	PBG.LCU7.SYS.S_10KV4612_SW2_OPEN
1.19.6.299.51.2	PBG.LCU7.SYS.S_10KV4612_SW3_CLOSE
1.19.6.299.51.1	PBG.LCU7.SYS.S_10KV4612_SW3_OPEN
