!!SCT,EX,,,,,,,,
!!ID,VALUE,DESC,ETYPE,FTYPE,STATION,VALUES,PORT,DEVNAME,TYPE
SXS_SW2503106_CP08_049_2,0,实训室25031刀闸B相末端小瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2503106_CP08_048_1,0,实训室25031刀闸B相末端小瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2503106_CP08_048_2,0,实训室25031刀闸B相末端小瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2503106_DX01_016_1,0,实训室25031刀闸B相末端靠母线侧接地线松脱,刀闸,接地线,实训室,0,0,0,0
SXS_SW23905_CP07_038_1,0,实训室239刀闸B相末端大瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW23905_CP07_038_2,0,实训室239刀闸B相末端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW23905_CP07_037_1,0,实训室239刀闸B相末端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW23905_CP07_037_2,0,实训室239刀闸B相末端大瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW23905_CP08_050_1,0,实训室239刀闸Ｂ相末端小瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW23905_CP08_050_2,0,实训室239刀闸Ｂ相末端小瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW23905_CP08_049_1,0,实训室239刀闸Ｂ相末端小瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW23905_CP08_049_2,0,实训室239刀闸Ｂ相末端小瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW23905_DX01_013_1,0,实训室239刀闸B相末端靠母线侧接地线松脱,刀闸,接地线,实训室,0,0,0,0
SXS_SW24914_CP07_023_1,0,实训室249刀闸B相末端大瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW24914_CP07_023_2,0,实训室249刀闸B相末端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW24914_CP07_022_1,0,实训室249刀闸B相末端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
