!!SCT,DO,,,,,,,
!!ID,STATE,DESC,STATES,TYPE,STATION,PORT,ITIME,BSET
SXS5041_BK_A_IOPENA,0,实训室5041开关A相状态,0,0,实训室,0,0,0
SXS5041_BK_B_HWJ,1,实训室5041开关B相合位继电器状态,1,0,实训室,0,0,0
SXS5041_BK_B_IOPENB,0,实训室5041开关B相状态,0,0,实训室,0,0,0
SXS5041_BK_C_HWJ,1,实训室5041开关C相合位继电器状态,1,0,实训室,0,0,0
SXS5041_BK_C_IOPENC,0,实训室5041开关C相状态,0,0,实训室,0,0,0
SXS50411_SW_HW,1,实训室50411刀闸合位,1,0,实训室,0,0,0
SXS50411_SW_A_IOPENA,0,实训室50411刀闸A相状态,0,0,实训室,0,0,0
SXS50411_SW_B_IOPENB,0,实训室50411刀闸B相状态,0,0,实训室,0,0,0
SXS50411_SW_C_IOPENC,0,实训室50411刀闸C相状态,0,0,实训室,0,0,0
SXS50412_SW_HW,1,实训室50412刀闸合位,1,0,实训室,0,0,0
SXS50412_SW_A_IOPENA,0,实训室50412刀闸A相状态,0,0,实训室,0,0,0
SXS50412_SW_B_IOPENB,0,实训室50412刀闸B相状态,0,0,实训室,0,0,0
SXS50412_SW_C_IOPENC,0,实训室50412刀闸C相状态,0,0,实训室,0,0,0
SXS504117_SW_HW,1,实训室504117地刀合位,1,0,实训室,0,0,0
SXS504117_SW_A_IOPENA,0,实训室504117地刀A相状态,0,0,实训室,0,0,0
SXS504117_SW_B_IOPENB,0,实训室504117地刀B相状态,0,0,实训室,0,0,0
SXS504117_SW_C_IOPENC,0,实训室504117地刀C相状态,0,0,实训室,0,0,0
SXS504127_SW_HW,1,实训室504127地刀合位,1,0,实训室,0,0,0
SXS504127_SW_A_IOPENA,0,实训室504127地刀A相状态,0,0,实训室,0,0,0
SXS504127_SW_B_IOPENB,0,实训室504127地刀B相状态,0,0,实训室,0,0,0
SXS504127_SW_C_IOPENC,0,实训室504127地刀C相状态,0,0,实训室,0,0,0
SXS504167_SW_HW,1,实训室504167地刀合位,1,0,实训室,0,0,0
SXS504167_SW_A_IOPENA,0,实训室504167地刀A相状态,0,0,实训室,0,0,0
SXS504167_SW_B_IOPENB,0,实训室504167地刀B相状态,0,0,实训室,0,0,0
SXS504167_SW_C_IOPENC,0,实训室504167地刀C相状态,0,0,实训室,0,0,0
SXS5042_BK_A_HWJ,1,实训室5042开关A相合位继电器状态,1,0,实训室,0,0,0
SXS5042_BK_A_IOPENA,0,实训室5042开关A相状态,0,0,实训室,0,0,0
SXS5042_BK_B_HWJ,1,实训室5042开关B相合位继电器状态,1,0,实训室,0,0,0
SXS5042_BK_B_IOPENB,0,实训室5042开关B相状态,0,0,实训室,0,0,0
SXS5042_BK_C_HWJ,1,实训室5042开关C相合位继电器状态,1,0,实训室,0,0,0
SXS5042_BK_C_IOPENC,0,实训室5042开关C相状态,0,0,实训室,0,0,0
SXS50421_SW_HW,1,实训室50421刀闸合位,1,0,实训室,0,0,0
SXS50421_SW_A_IOPENA,0,实训室50421刀闸A相状态,0,0,实训室,0,0,0
SXS50421_SW_B_IOPENB,0,实训室50421刀闸B相状态,0,0,实训室,0,0,0
SXS50421_SW_C_IOPENC,0,实训室50421刀闸C相状态,0,0,实训室,0,0,0
SXS50422_SW_HW,1,实训室50422刀闸合位,1,0,实训室,0,0,0
SXS50422_SW_A_IOPENA,0,实训室50422刀闸A相状态,0,0,实训室,0,0,0
SXS50422_SW_B_IOPENB,0,实训室50422刀闸B相状态,0,0,实训室,0,0,0
SXS50422_SW_C_IOPENC,0,实训室50422刀闸C相状态,0,0,实训室,0,0,0
SXS504217_SW_HW,1,实训室504217地刀合位,1,0,实训室,0,0,0
SXS504217_SW_A_IOPENA,0,实训室504217地刀A相状态,0,0,实训室,0,0,0
SXS504217_SW_B_IOPENB,0,实训室504217地刀B相状态,0,0,实训室,0,0,0
SXS504217_SW_C_IOPENC,0,实训室504217地刀C相状态,0,0,实训室,0,0,0
SXS504227_SW_HW,1,实训室504227地刀合位,1,0,实训室,0,0,0
SXS504227_SW_A_IOPENA,0,实训室504227地刀A相状态,0,0,实训室,0,0,0
SXS504227_SW_B_IOPENB,0,实训室504227地刀B相状态,0,0,实训室,0,0,0
SXS504227_SW_C_IOPENC,0,实训室504227地刀C相状态,0,0,实训室,0,0,0
SXS5043_BK_A_HWJ,1,实训室5043开关A相合位继电器状态,1,0,实训室,0,0,0
SXS5043_BK_A_IOPENA,0,实训室5043开关A相状态,0,0,实训室,0,0,0
SXS5043_BK_B_HWJ,1,实训室5043开关B相合位继电器状态,1,0,实训室,0,0,0
SXS5043_BK_B_IOPENB,0,实训室5043开关B相状态,0,0,实训室,0,0,0
SXS5043_BK_C_HWJ,1,实训室5043开关C相合位继电器状态,1,0,实训室,0,0,0
SXS5043_BK_C_IOPENC,0,实训室5043开关C相状态,0,0,实训室,0,0,0
SXS50431_SW_HW,1,实训室50431刀闸合位,1,0,实训室,0,0,0
SXS50431_SW_A_IOPENA,0,实训室50431刀闸A相状态,0,0,实训室,0,0,0
SXS50431_SW_B_IOPENB,0,实训室50431刀闸B相状态,0,0,实训室,0,0,0
SXS50431_SW_C_IOPENC,0,实训室50431刀闸C相状态,0,0,实训室,0,0,0
SXS50432_SW_HW,1,实训室50432刀闸合位,1,0,实训室,0,0,0
